title,date,content,rating
Colgate Total Cleaning Explosion,13th June 2013,"I tried the new Colgate Total Interdental toothpaste and was pleasantly surprised at how fresh I felt after brushing. Being a regular colgate user, I expected more of the same but this Interdental seems to have given a better clean and fresh taste. Will continue to use same, well done",4 stars
its a real deep clezning product,13th June 2013,i found this to be the best from colgate and lasted the longest.,5 stars
a different product all around,13th June 2013,a tooth paste keep its promise and can feel the difference from day one. pleasant but hard working with a wonderful long lasting freshness,5 stars
As clean as the dentist!,13th June 2013,"This is the first toothpaste I have ever used that leaves my teeth feeling as though I've had a session with the dentist. I could almost feel the tartar and plaque disappearing as I brushed. Excellent. However, I haven't been able to find it in any of the shops yet :(",5 stars
A definite must-have,13th June 2013,With a classic Colgate flavour this foaming paste cleans to the gumline and beyond. After using for just 2 days I found my teeth looked whiter and took longer to feel gritty. After a week I knew I wouldn't use anything else.,5 stars
"A fresh, clean feeling!",13th June 2013,I loved this product. It gave a lovely fresh feeling to my mouth & my teeth were smooth after brushing with no tartar residue. The clean feeling and fresh taste lingered for a long time and I felt confident well into the morning.,5 stars
omg,13th June 2013,i have been using this also with total sesitive and mouthwash ive never had such a clean fresh mouth in my like,5 stars
the product makes you feel refreshed,13th June 2013,the product is really good at cleaning your teeth and making your mouth feel fresh and so clean. The taste could be more friendly ie minty or more appealing. would recommend to my friends and family,4 stars
jet wash for the gums,13th June 2013,"This product is amazing!. once used, it keeps your breath fresh for ages and you can feel how clean your teeth are with your tongue. I could feel space between my teeth and felt like I'd had my teeth and gums jet washed!",5 stars
New and effective,13th June 2013,A great product! Excellent freshness and mouth feel. A really pleasing effect overall leaving teeth feeling clean and fresh.,5 stars
A unique clean,13th June 2013,Colgate Total Interdental offers a unique clean! Smooth feeling teeth all day and when you wake up in the morning!,5 stars
Colgate® Total® Interdental Toothpaste,13th June 2013,"Great idea,like the taste and feel. But my teeth and mouth didnt feel that clean",4 stars
Colgateจ Totalจ Interdental Toothpaste,13th June 2013,"Great idea,like the taste and feel. But my teeth and mouth didnt feel that clean",4 stars
Wow what a clean,13th June 2013,i usually use Colgate sensitive pro relief. I tried the new colgate total interdental and the experience was fantastic. my teeth and gums have never felt so clean and fresh. i will definitely be using this colgate product from now on. Thanks colgate.,5 stars
Interdental,13th June 2013,Good but not perfect flavour. I was not impressed with the grey colour.,4 stars
Lovely Clean Fresh Taste,13th June 2013,This product has great features it leaves your teeth feeling really smooth and clean. The taste is refreshing and leaves your mouth tingling with freshness. The taste lasted all morning and made me feel really confident when talking to colleagues. After using for a couple of weeks I have noticed the staining is less on my teeth and they are looking whiter.,5 stars
Nice Clean Feel,13th June 2013,Another excellent product from a company you can rely on.,4 stars
Colgateจ Totalจ Interdental Toothpaste,13th June 2013,This toothpaste made my teeth feel really clean & the feeling lasted for several hrs.,5 stars
Definitely whiter!,13th June 2013,I preferred the flavour of this toothpaste to the one I normally use and like the fresh clean feeling it left in my mouth. I definitely thought my teeth appeared whiter.,5 stars
smells and tastes great,13th June 2013,i wear dentures and found this foams and cleans well making my 'teeth' feel really smooth. i love the taste and my breath stays fresh all day. will definately continue to buy.,5 stars
"great feeling, really wakes up your mouth.",13th June 2013,This toothpaste is the best I've used. My whole family commented on how much better their whole mouth felt after using.,5 stars
freshness,13th June 2013,"The toothpaste was great left my teeth feeling clean and my mouth clean, and the freshness lasted for a while.",4 stars
unique slogan,13th June 2013,"worked well with my electric toothbrush and floss, left teeth feeling very smooth and clean and mouth fresh.",5 stars
Tasty !!!!,13th June 2013,"Loved the fresh yet not too minty taste, but for me the texture was way too thick.",3 stars
Interdental really works,13th June 2013,I liked this toothpaste for its deep cleansing properties that left my teeth feeling fresh even in between my teeth and with a long lasting flavour,5 stars
Brilliant Blew me away,13th June 2013,"this toothpaste was great left me mouth and teeth feeling really clean long lasting freshness, would recommend to anyone to use! will be my main brand of toothpaste i will be buying for the foreseeable Future! well done Colgate keep up the good work",5 stars
Lovely Clean Fresh Taste,13th June 2013,This product has great features it leaves your teeth feeling really smooth and clean. The taste is refreshing and leaves your mouth tingling with freshness. The taste lasted all morning and made me feel really confident when talking to colleagues. After using for a couple of weeks I have noticed the staining is less on my teeth and they are looking whiter.,5 stars
Nice Clean Feel,13th June 2013,Another excellent product from a company you can rely on.,4 stars
